ID,Name,Text,To,Type
1,Cosmological argument,"The universe needs a first cause, therefore God exists as said first cause.",,
2,Could not exist,"Hypothetically, the universe could not exist, therefore there must be an explaination as to why it exists.",1,S
3,I think therefore I am,"I know the universe must exist, otherwise I can't be part of it, therefore it isn't “hypothetically possible” for there to be no universe.",2,R
4,Before the big bang,"As the big bang is the start of time itself, to ask what caused it would be like asking “what's north of north?” (as such a cause would be before the biginning of time.",1,R
5,What caused God,"If everything needs a cause, surely God would also need a cause himself. ",1,R
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
